horizon,company,model,calibration,margin,score,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage
3,"Meta Platforms, Inc.",ensemble,raw,0.1,0.39195934051730386,0.6162790697674418,0.32375217189126626,0.07973421926910298,0.2916666666666667,0.29055412001148434,0.0639269406392694,0.11570593149540517,0.6363636363636364,0.6,0.6470588235294118,0.05612052730696798,0.16117810760667903,0.023255813953488372,0.1362126245847176
3,"Meta Platforms, Inc.",ensemble,raw,0.12,0.3817117769036913,0.6212624584717608,0.3072694754818196,0.05149501661129568,0.3225806451612903,0.3487654320987654,0.045662100456621,0.08575780654988577,0.8333333333333334,0.6666666666666666,0.8888888888888888,0.034482758620689655,0.11627906976744186,0.016611295681063124,0.08637873754152824
3,"Meta Platforms, Inc.",ensemble,raw,0.14,0.37419873049663904,0.6229235880398671,0.2926396833844546,0.03986710963455149,0.2916666666666667,0.3082706766917293,0.0319634703196347,0.05896171012450083,0.7777777777777778,0.5,0.8571428571428571,0.017543859649122806,0.08263305322128851,0.009966777408637873,0.06976744186046512
3,"Meta Platforms, Inc.",ensemble,raw,0.16,0.3689033184337089,0.6245847176079734,0.282723412363342,0.029900332225913623,0.2777777777777778,0.3142857142857143,0.0228310502283105,0.04170014462477904,0.8333333333333334,0.5,1.0,0.017543859649122806,0.04819277108433735,0.009966777408637873,0.04983388704318937
3,"Meta Platforms, Inc.",ensemble,raw,0.18,0.3674777652960688,0.6295681063122923,0.2791595295192418,0.019933554817275746,0.3333333333333333,0.39999999999999997,0.0182648401826484,0.03411880216003927,1.0,1.0,1.0,0.017857142857142856,0.036585365853658534,0.006644518272425249,0.03322259136212625
3,"Meta Platforms, Inc.",ensemble,raw,0.2,0.3653428554860459,0.6312292358803987,0.2746528197782376,0.014950166112956811,0.3333333333333333,0.4166666666666667,0.0136986301369863,0.026309278350515462,1.0,1.0,1.0,0.017857142857142856,0.024691358024691357,0.006644518272425249,0.023255813953488372
3,"Meta Platforms, Inc.",tcn,temperature,0.0,0.3992104477045384,0.3637873754152824,0.32277694982613014,0.6229235880398671,0.192,0.18859221422490516,0.3287671232876712,0.402059925093633,0.5179856115107914,0.627906976744186,0.46875,0.35810113519091846,0.41487603305785126,0.4053156146179402,0.840531561461794
3,"Meta Platforms, Inc.",tcn,temperature,0.02,0.40341819719525085,0.3803986710963455,0.33163519398480473,0.5930232558139535,0.19607843137254902,0.19295392953929538,0.319634703196347,0.3973911920444272,0.5263157894736842,0.6585365853658537,0.4673913043478261,0.3630952380952381,0.40335376848178867,0.3654485049833887,0.8205980066445183
3,"Meta Platforms, Inc.",tcn,temperature,0.04,0.40350370304218935,0.39700996677740863,0.3360017825224169,0.5514950166112956,0.19578313253012047,0.19331347236014565,0.2968036529680365,0.3797208538587849,0.5284552845528455,0.6666666666666666,0.4642857142857143,0.3561883899233297,0.3793639988330254,0.3388704318936877,0.7641196013289037
3,"Meta Platforms, Inc.",tcn,temperature,0.06,0.4019101344070744,0.40365448504983387,0.3361706848548954,0.5299003322259136,0.19435736677115986,0.19284127945545268,0.2831050228310502,0.3687400318979266,0.5299145299145299,0.6571428571428571,0.47560975609756095,0.3230840903796879,0.3831349206349206,0.31561461794019935,0.7441860465116279
